epoch,train_loss,train_acc,test_loss,test_acc
1,1.4063745766510198,0.2770061728395062,1.338694621015478,0.35185185185185186
2,1.2825628298300285,0.4058641975308642,1.2640465998355253,0.41473765432098764
3,1.2124332792964982,0.45949074074074076,1.2451096272762912,0.4332561728395062
4,1.1828973808406311,0.4714506172839506,1.1927753804642478,0.49189814814814814
5,1.1401776126873346,0.5096450617283951,1.1675206533184759,0.5061728395061729
6,1.1164978080325656,0.5162037037037037,1.1713616722895774,0.4984567901234568
7,1.0968583800174572,0.5304783950617284,1.1381041223620192,0.5266203703703703
8,1.0596298759366258,0.5513117283950617,1.1172042783395744,0.535108024691358
9,1.0471753971076305,0.5536265432098766,1.0850514556154793,0.5509259259259259
10,1.0327285609127563,0.564429012345679,1.075296668358791,0.5524691358024691
11,1.0164053785948106,0.5864197530864198,1.0709229619414717,0.5613425925925926
12,0.9837539129787021,0.5910493827160493,1.0665289465292,0.5597993827160493
13,0.9962479177816415,0.5833333333333334,1.0469932578228138,0.5698302469135802
14,0.9664588254175068,0.6006944444444444,1.0335683373757352,0.5783179012345679
15,0.9531255644044758,0.6095679012345679,1.023674112779123,0.5790895061728395
16,0.9546527207633595,0.6064814814814815,1.0289630330639121,0.5725308641975309
17,0.9295885033077664,0.6080246913580247,1.0062197520409102,0.597608024691358
18,0.9354719953772462,0.6157407407407407,1.00099617684329,0.5891203703703703
19,0.9227717761640195,0.6238425925925926,0.9930254007563178,0.5848765432098766
20,0.9099803706746042,0.628858024691358,0.9802328826468668,0.6006944444444444
21,0.9071627406426418,0.6292438271604939,0.985500121558154,0.5875771604938271
22,0.9028271134988761,0.6304012345679012,0.9818888078501196,0.5972222222222222
23,0.8896611597802904,0.6512345679012346,0.9703968800144431,0.6076388888888888
24,0.8689970020894651,0.6504629629629629,0.9583092994160123,0.6180555555555556
25,0.8813505437639024,0.6454475308641975,0.9586724896489838,0.6138117283950617
26,0.886850780175056,0.6365740740740741,0.9605419503317939,0.6064814814814815
27,0.8716490423237836,0.6481481481481481,0.9744498148376559,0.6053240740740741
28,0.8781415680308401,0.6423611111111112,0.9335427387261096,0.6338734567901234
29,0.853612447226489,0.654320987654321,0.9422188754434939,0.6203703703703703
30,0.8717680956110542,0.6431327160493827,1.0000680523154177,0.5871913580246914
31,0.8734442135434092,0.6346450617283951,1.0992972784572177,0.5408950617283951
32,0.8371756775879565,0.660108024691358,0.9383518386770178,0.6192129629629629
33,0.8430616428822647,0.6570216049382716,0.9193712075551351,0.6331018518518519
